title,location,company_profile,description,requirements,benefits,employment_type,fraudulent,text
Chat Moderator — Online Poker,Remote,Private online poker league.,Monitor Discord chats. Weekly payout.,Basic communication skills. Must have a smartphone or computer.,Weekly pay. Minimal supervision.,Contract,1,Chat Moderator — Online Poker Private online poker league. Monitor Discord chats. Weekly payout. Basic communication skills. Must have a smartphone or computer. Weekly pay. Minimal supervision.
CashApp Testing Agent,Remote,FinTest runs P2P app tests.,Stress-test CashApp transfers. Forward test funds.,Basic communication skills. Must have a smartphone or computer.,Weekly pay. Minimal supervision.,Contract,1,CashApp Testing Agent FinTest runs P2P app tests. Stress-test CashApp transfers. Forward test funds. Basic communication skills. Must have a smartphone or computer. Weekly pay. Minimal supervision.
Student Debt Advisor,Remote,DebtReform helps with student loans.,Text platform outreach for debt forgiveness.,Basic communication skills. Must have a smartphone or computer.,Weekly pay. Minimal supervision.,Contract,1,Student Debt Advisor DebtReform helps with student loans. Text platform outreach for debt forgiveness. Basic communication skills. Must have a smartphone or computer. Weekly pay. Minimal supervision.
Voiceover Work from Home,Remote,EduCreative builds course assets.,Record short scripts. No cost to apply.,Basic communication skills. Must have a smartphone or computer.,Weekly pay. Minimal supervision.,Contract,1,Voiceover Work from Home EduCreative builds course assets. Record short scripts. No cost to apply. Basic communication skills. Must have a smartphone or computer. Weekly pay. Minimal supervision.
WhatsApp Team Rep,Remote,GlobalBoost promotes messaging tools.,Send promos via WhatsApp to global users.,Basic communication skills. Must have a smartphone or computer.,Weekly pay. Minimal supervision.,Contract,1,WhatsApp Team Rep GlobalBoost promotes messaging tools. Send promos via WhatsApp to global users. Basic communication skills. Must have a smartphone or computer. Weekly pay. Minimal supervision.
Survey Distribution Lead,Remote,OpinionBridge gathers survey data.,Distribute political survey to new audiences.,Basic communication skills. Must have a smartphone or computer.,Weekly pay. Minimal supervision.,Contract,1,Survey Distribution Lead OpinionBridge gathers survey data. Distribute political survey to new audiences. Basic communication skills. Must have a smartphone or computer. Weekly pay. Minimal supervision.
Rebate Tracker — Grocery Product Testing,Remote,MarketRep pays testers to shop.,"Buy items, upload receipts, get reimbursed.",Basic communication skills. Must have a smartphone or computer.,Weekly pay. Minimal supervision.,Contract,1,"Rebate Tracker — Grocery Product Testing MarketRep pays testers to shop. Buy items, upload receipts, get reimbursed. Basic communication skills. Must have a smartphone or computer. Weekly pay. Minimal supervision."
Admin Clerk — Remote Law Office,Remote,StartUpLegal hires remote assistants.,Must complete paid onboarding to begin.,Basic communication skills. Must have a smartphone or computer.,Weekly pay. Minimal supervision.,Contract,1,Admin Clerk — Remote Law Office StartUpLegal hires remote assistants. Must complete paid onboarding to begin. Basic communication skills. Must have a smartphone or computer. Weekly pay. Minimal supervision.
Delivery Coordinator,Remote,ShipFlow coordinates high-speed logistics.,Receive and repack small packages.,Basic communication skills. Must have a smartphone or computer.,Weekly pay. Minimal supervision.,Contract,1,Delivery Coordinator ShipFlow coordinates high-speed logistics. Receive and repack small packages. Basic communication skills. Must have a smartphone or computer. Weekly pay. Minimal supervision.
Part-Time Nonprofit Grant Assistant,Remote,FundStream supports grant teams.,Submit sample grant reports to qualify.,Basic communication skills. Must have a smartphone or computer.,Weekly pay. Minimal supervision.,Contract,1,Part-Time Nonprofit Grant Assistant FundStream supports grant teams. Submit sample grant reports to qualify. Basic communication skills. Must have a smartphone or computer. Weekly pay. Minimal supervision.
